event_name,date,location
UFC Fight Night: Burns vs. Malott,"April 18, 2026","Winnipeg, Manitoba, Canada"
UFC 327: Prochazka vs. Ulberg,"April 11, 2026","Miami, Florida, USA"
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026","Las Vegas, Nevada, USA"
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026","Seattle, Washington, USA"
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026","London, England, United Kingdom"
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026","Las Vegas, Nevada, USA"
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA"
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026","Houston, Texas, USA"
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026","Las Vegas, Nevada, USA"
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026","Sydney, New South Wales, Australia"
UFC 324: Gaethje vs. Pimblett,"January 24, 2026","Las Vegas, Nevada, USA"
UFC Fight Night: Royval vs. Kape,"December 13, 2025","Las Vegas, Nevada, USA"
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025","Doha, Qatar"
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025","New York City, New York, USA"
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Garcia vs. Onama,"November 01, 2025","Las Vegas, Nevada, USA"
UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada"
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia"
UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA"
UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France"
